kata-analysis/D1DE076622-zebra-2, signal, date, time, seconds, minutes, total seconds, total minutes
  1, red  , 2018-01-07, 05:06:35,      0,      0.0,      0,      0.0
  2, green, 2018-01-07, 05:07:09,     34,      0.0,     34,      0.0
